index,adress,price,url,x,y
16,"Poznañ, Centrum,  Maratoñska",3 500,https://www.otodom.pl/oferta/mieszkanie-44-m-poznan-ID3DteQ.html#cbab5cf261,16.931473,52.397862
17,"Poznañ, Je¿yce,  Koœcielna 39, Bamberski Dwór",1 300,https://www.otodom.pl/oferta/bezposrednio-dwupokojowe-koscielna-bamb-dwor-ID3E9pe.html#cbab5cf261,0,0
18,"Poznañ, Bonin,  gen. Stanis³awa Maczka",1 200,https://www.otodom.pl/oferta/kawalerka-po-remoncie-blisko-pestki-ul-gen-maczka-ID3CEZ6.html#cbab5cf261,0,0
19,"Poznañ, Stare Miasto, Garbary, Piaskowa, Szyperska",1 250,https://www.otodom.pl/oferta/kawalerka-36m2-centrum-poznania-garbary-ID3EUgQ.html#cbab5cf261,0,0
20,"Poznañ, Podolany,  Kosowska",1 190,https://www.otodom.pl/oferta/przytulne-mieszkanie-2-pokojowe-poznan-podolany-ID3d3eA.html#cbab5cf261,16.876952,52.454899
21,"Poznañ, Stare Miasto,  Pó³nocna",1 190,https://www.otodom.pl/oferta/komfortowy-apartament-przy-cytadeli-ul-polnocna-ID3wuBO.html#cbab5cf261,16.937794,52.415239
22,"Poznañ, Grunwald,  Brzask 10",1 500,https://www.otodom.pl/oferta/ataner-2-pokoje-kuchnia-2-balkony-brzask-poznan-ID3E8Ic.html#cbab5cf261,16.878740,52.407098
23,"Poznañ, £awica,  Barwicka",1 850,https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-do-wynajecia-od-czerwca-br-ID3EU2v.html#cbab5cf261,16.830972,52.410785
24,"Poznañ, Rolna",1 350,https://www.otodom.pl/oferta/kawalerka-24-m2-na-wildziestan-idealny-ID3EU1y.html#cbab5cf261,16.830972,52.410785
25,"Poznañ, So³acz, Szyd³owska",1 200,https://www.otodom.pl/oferta/mieszkanie-28-m-poznan-ID3EU0Y.html#cbab5cf261,16.916154,52.426770
26,"Poznañ, Wilda,  28 Czerwca 1956 r. 158",3 250,https://www.otodom.pl/oferta/mieszkanie-przy-szpitalu-na-wildzie-ID3D2io.html#cbab5cf261,0,0
27,"Poznañ, Dêbiec,  Wiklinowa 5",2 200,https://www.otodom.pl/oferta/2-pokoje-mieszkanie-w-pelni-umeblowane-parking-ID304aG.html#cbab5cf261,16.911232,52.368761
28,"Poznañ, Rataje, Dymka",1 300,https://www.otodom.pl/oferta/komfortowa-kawalerka-na-ratajach-ID3ETGg.html#cbab5cf261,16.983517,52.395613
29,"Poznañ, Wilda, Rolna",1 700,https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-na-wildzie-ID3ETGk.html#cbab5cf261,16.916534,52.382676
30,"Poznañ, Wilda, Saperska",2 499,https://www.otodom.pl/oferta/ladne-2-pokojowe-mieszkanie-na-ul-saperskiej-ID3ETGo.html#cbab5cf261,16.916691,52.376964
0,"Poznañ, Stary Rynek,  Za Bramk¹",1 800,https://www.otodom.pl/oferta/designerskie-mieszkanie-2-pok-centrum-ID3uizO.html#710ca4e80a,0,0
1,"Poznañ, Maratoñska 3b",1 850,https://www.otodom.pl/oferta/2-pokojowe-ul-maratonska-ID3x3eP.html#710ca4e80a,16.919400,52.345659
2,"Poznañ, Rataje,  Oœwiecenia",1 300,https://www.otodom.pl/oferta/rataje-oswiecenia-juz-dostepne-umeblowane-3-pokoje-ID3E9Lq.html#710ca4e80a,16.962806,52.389103
3,"Poznañ, Centrum,  Maratoñska",1 200,https://www.otodom.pl/oferta/mieszkanie-44-m-poznan-ID3DteQ.html#710ca4e80a,16.931473,52.397862
4,"Poznañ,  Dezyderego Ch³apowskiego",1 300,https://www.otodom.pl/oferta/apartament-lux-38m2-z-ogrodkiem-30m2-gratis-1-mc-ID3y6t1.html#710ca4e80a,0,0
5,"Poznañ, Je¿yce, M¹czna",2 300,https://www.otodom.pl/oferta/centrum-jezyce-mieszkanie-2-pokoje-po-remoncie-ID3EFiM.html#710ca4e80a,16.908127,52.416525
6,"Poznañ, £azarz,  Klaudyny Potockiej",2 200,https://www.otodom.pl/oferta/komfortowe-2-pokojowe-mieszkanie-w-centrum-poznan-ID3bS5q.html#710ca4e80a,0,0
7,"Poznañ, Wilda, Przemys³owa",1 200,https://www.otodom.pl/oferta/komfortowe-2-pokojowe-mieszkanie-na-wildzie-ID3ETGs.html#710ca4e80a,16.918859,52.398172
8,"Poznañ, Wilda, Ró¿ana",1 300,https://www.otodom.pl/oferta/komfortowe-2-pokojowe-mieszkanie-na-wildzie-ID3ETGA.html#710ca4e80a,16.924323,52.397229
9,"Poznañ, Wilda, Ró¿ana",1 800,https://www.otodom.pl/oferta/luksusowe-2-pok-mieszkanie-z-garazem-na-wildzie-ID3ETG8.html#710ca4e80a,16.924323,52.397229
10,"Poznañ, Wilda, Romualda Traugutta",1 850,https://www.otodom.pl/oferta/komfortowe-2-pokojowe-mieszkanie-na-wildzie-ID3ETGc.html#710ca4e80a,0,0
11,"Poznañ, Pi¹tkowo, Pi¹tkowo, Batorego",1 690,https://www.otodom.pl/oferta/2-pokoje-piatkowo-od-zaraz-ID3ETEY.html#710ca4e80a,0,0
12,"Poznañ, Grunwald, Rycerska",1 850,https://www.otodom.pl/oferta/mieszkanie-1-pokoj-kawalerka-grunwald-rycerska-ID3EQC4.html#710ca4e80a,16.875111,52.402349
13,"Poznañ, Wilda,  Rolna",1 200,https://www.otodom.pl/oferta/bezposrednio-nowe-2-pokojowe-ul-rolna-budimex-ID3ETxu.html#710ca4e80a,16.916534,52.382676
14,"Poznañ, Dêbiec, REDPARK 28 CZERWCA",1 600,https://www.otodom.pl/oferta/wynajme-zupelnie-nowe-mieszkanie-ID3Bjw2.html#710ca4e80a,0,0
15,"Poznañ, Ogrody, Nowe Ogrody",1 450,https://www.otodom.pl/oferta/bezposrednio-nowe-ogrody-2-pokoje-ID3kSYk.html#710ca4e80a,0,0
